k,d_cs2_dk
0.0001,0.0
0.00010948889651276869,0.0
0.00011987818459583773,0.0
0.0001312533014735226,0.0
0.0001437077914199376,0.0
0.00015734407502856096,0.0
0.00017227429147699424,0.0
0.00018862122071335174,0.0
0.00020651929314796272,0.0
0.0002261156951536743,0.0
0.00024757157946593425,0.0
0.0002710633904364837,0.0
0.00029678431503900375,0.0
0.00032494587155918424,0.0
0.00035577964903394955,0.0
0.00038953921174427267,0.0
0.0004265021844233416,0.0
0.0004669725353279709,0.0
0.0005112830759482943,0.0
0.0005597981979123285,0.0
0.0006129168695925734,0.0
0.0006710759170575142,0.0
0.0007347536163492159,0.0
0.0008044736266284185,0.0
0.0008808092965317064,0.0
0.0009643883791544458,0.0
0.0010558981944335786,0.0
0.0011560912813835741,0.0
0.001265791586667203,0.0
0.0013859012403933868,0.0
0.001517407974863493,0.0
0.0016613932472747906,0.0
0.0018190411331788228,0.0
0.0019916480638308563,0.0
0.00218063348750633,0.0
0.0023875515424585845,0.0
0.002614103837511492,0.0
0.002862153445389273,0.0
0.0031337402238589044,0.0
0.003431097590679882,0.0
0.003756670890311596,0.0
0.00411313750341857,0.0
0.004503428864545835,0.0
0.004930754569028744,0.0
0.005398628767382501,0.0
0.005910899064227987,0.0
0.006471778159406794,0.0
0.0070858784914888786,0.0
0.007758250168566794,0.0
0.0084944224982638,0.0
0.009300449458481392,0.0
0.010182959482819049,0.0
0.011149209970080915,0.0
0.012207146966133182,0.0
0.013365470508911143,0.0
0.014633706173946355,0.0
0.01602228340877477,0.0
0.017542621300415916,0.0
0.019207222481239298,0.0
0.021029775945461338,0.0
0.02302526962179329,0.0
0.02521011362799125,0.0
0.027602275220902736,0.0
0.030221426551783795,0.0
0.03308910644196496,0.0
0.036228897509242894,0.0
0.03966662010161199,0.0
0.043430544633167055,0.0
0.04755162406834014,0.0
0.05206374846632575,0.0
0.057004023678963595,0.0
0.062413076493974616,0.0
0.06833538873292302,0.0
0.07481966305138829,0.0
0.08191922344953685,0.0
0.08969245378672715,0.0
0.09820327790631257,0.0
0.10752168531898922,0.0
0.11772430676769291,0.0
0.12889504440725363,0.0
0.1411257617811452,0.0
0.1545170392694147,0.0
0.16917900122028362,0.0
0.18523222156741204,0.0
0.20280871538024617,0.0
0.22205302450155334,0.0
0.24312340619997863,0.0
0.2661931346126132,0.0
0.2914519256800991,0.0
0.3191074972923552,0.0
0.34938727747491294,0.0
0.38254027466328744,0.0
0.4188391254457479,0.0
0.4585823366142809,0.0
0.5020967399614465,0.0
0.5497401800103736,0.0
0.6019044567806663,0.0
0.6590185477903262,0.0
0.7215521357901015,0.0
0.7900194712408963,0.0
0.8649836012976684,0.0
0.9470610000772239,0.0
1.0369266382873439,0.0
1.1353195339077613,0.0
1.2430488295695168,0.0
1.3610004466105508,0.0
1.4901443705277455,0.0
1.6315426277379719,0.0
1.786358019245735,0.0
1.9558636830395115,0.0
2.141453563853957,0.0
2.344653876397056,0.0
2.567135656310992,0.0
2.8107285020807278,0.0
3.0774356208980618,0.0
3.3694503022121594,0.0
3.6891739544382434,0.0
4.039235853150905,0.0
4.4225147631630435,0.0
4.842162612301503,0.0
5.30163041156277,0.0
5.804696634805434,0.0
6.355498291362301,0.0
6.958564947100452,0.0
7.618855973704612,0.0
8.34180133250634,0.0
9.133346228248625,0.0
10.0,0.0
