series,N,coverage,err95_low,err95_high,width_mean,M,outer_B,inner_B,alpha
bootstrap (CH10),10,0.875,0.0360190975139586,0.028884876763236256,0.6897612932874999,400,400,2000,0.05
bootstrap (CH10),14,0.9125,0.031760732614291354,0.023913089788496822,0.6095721306651783,400,400,2000,0.05
bootstrap (CH10),18,0.92,0.030754576830675506,0.022764249589866448,0.5445215953472221,400,400,2000,0.05
bootstrap (CH10),23,0.92,0.030754576830675506,0.022764249589866448,0.4898220972527171,400,400,2000,0.05
bootstrap (CH10),27,0.93,0.029308946427750504,0.02112837330025541,0.4511998411527775,400,400,2000,0.05
bootstrap (CH10),32,0.94,0.027722848900456176,0.019352029886275268,0.419563218064453,400,400,2000,0.05
bootstrap (CH10),36,0.955,0.025004729190323816,0.016348541346114076,0.3976635252656249,400,400,2000,0.05
bootstrap (CH10),41,0.945,0.026867447807973233,0.018401505850449307,0.3724069278536584,400,400,2000,0.05
bootstrap (CH10),45,0.9475,0.026421975071274972,0.017908471642079538,0.35567898287500005,400,400,2000,0.05
bootstrap (CH10),50,0.9425,0.02730083772811931,0.018882457242266892,0.3394397194449999,400,400,2000,0.05
