chapter,figure_stem,has_script,script_example,has_data,data_example
chapter01,fig_01_early_plateau,1,zz-scripts/chapter01/plot_fig01_early_plateau.py,0,
chapter01,fig_02_logistic_calibration,1,zz-scripts/chapter01/plot_fig02_logistic_calibration.py,0,
chapter01,fig_03_relative_error_timeline,1,zz-scripts/chapter01/plot_fig03_relative_error_timeline.py,0,
chapter01,fig_05_I1_vs_T,1,zz-scripts/chapter01/plot_fig05_I1_vs_T.py,0,
chapter02,fig_00_spectrum,1,zz-scripts/chapter02/plot_fig00_spectrum.py,0,
chapter02,fig_02_calibration,1,zz-scripts/chapter02/plot_fig02_calibration.py,0,
chapter02,fig_04_schema_pipeline,1,zz-scripts/chapter02/plot_fig04_pipeline_diagram.py,0,
chapter02,fig_04_schema_pipeline,0,,0,
chapter03,fig_01_fR_stability_domain,1,zz-scripts/chapter03/plot_fig01_fR_stability_domain.py,0,
chapter03,fig_02_fR_fRR_vs_R,0,,0,
chapter03,fig_03_ms2_R0_vs_R,0,,0,
chapter03,fig_04_fR_fRR_vs_R,0,,0,
chapter03,fig_05_interpolated_milestones,1,zz-scripts/chapter03/plot_fig05_interpolated_milestones.py,0,
chapter03,fig_06_grid_quality,1,zz-scripts/chapter03/plot_fig06_grid_quality.py,0,
chapter03,fig_07_ricci_fR_vs_z,1,zz-scripts/chapter03/plot_fig07_ricci_fR_vs_z.py,0,
chapter03,fig_08_ricci_fR_vs_T,1,zz-scripts/chapter03/plot_fig08_ricci_fR_vs_T.py,0,
chapter04,fig_01_invariants_schematic,1,zz-scripts/chapter04/plot_fig01_invariants_schematic.py,0,
chapter04,fig_03_invariants_vs_t,1,zz-scripts/chapter04/plot_fig03_invariants_vs_T.py,0,
chapter04,fig_04_relative_deviations,1,zz-scripts/chapter04/plot_fig04_relative_deviations.py,0,
chapter05,fig_01_bbn_reaction_network,1,zz-scripts/chapter05/plot_fig01_bbn_reaction_network.py,0,
chapter05,fig_03_yp_model_vs_obs,1,zz-scripts/chapter05/plot_fig03_yp_model_vs_obs.py,0,
chapter05,fig_04_chi2_vs_T,1,zz-scripts/chapter05/plot_fig04_chi2_vs_T.py,0,
chapter06,fig_01_schema_data_flow_cmb,1,zz-scripts/chapter06/plot_fig01_cmb_dataflow_diagram.py,0,
chapter06,fig_03_delta_cls_rel,1,zz-scripts/chapter06/plot_fig03_delta_cls_relative.py,0,
chapter06,fig_05_heatmap_delta_chi2,1,zz-scripts/chapter06/plot_fig05_delta_chi2_heatmap.py,0,
chapter06,fig_03_delta_cls_rel,1,zz-scripts/chapter06/plot_fig03_delta_cls_relative.py,0,
chapter07,fig_03_invariant_i1,1,zz-scripts/chapter07/plot_fig03_invariant_I1.py,0,
chapter07,fig_06_comparison,1,zz-scripts/chapter07/plot_fig06_comparison.py,0,
chapter07,fig_07_invariant_i2,1,zz-scripts/chapter07/plot_fig07_invariant_I2.py,0,
chapter08,fig_01_chi2_total_vs_q0,1,zz-scripts/chapter08/plot_fig01_chi2_total_vs_q0.py,0,
chapter08,fig_02_dv_vs_z,1,zz-scripts/chapter08/plot_fig02_dv_vs_z.py,0,
chapter08,fig_03_mu_vs_z,1,zz-scripts/chapter08/plot_fig03_mu_vs_z.py,0,
chapter08,fig_04_chi2_heatmap,1,zz-scripts/chapter08/plot_fig04_chi2_heatmap.py,0,
chapter08,fig_05_residuals,1,zz-scripts/chapter08/plot_fig05_residuals.py,0,
chapter08,fig_06_pulls,0,,0,
chapter09,fig_01_phase_overlay,1,zz-scripts/chapter09/plot_fig01_phase_overlay.py,0,
chapter09,fig_02_residual_phase,1,zz-scripts/chapter09/plot_fig02_residual_phase.py.bak,0,
chapter09,fig_03_hist_absdphi_20_300,1,zz-scripts/chapter09/plot_fig03_hist_absdphi_20_300.py,1,zz-data/chapter09/09_phases_mcgt.csv
chapter09,fig_04_milestones_absdphi_vs_f,1,zz-scripts/chapter09/plot_fig04_absdphi_milestones_vs_f.py,1,zz-data/chapter09/09_comparison_milestones.csv
chapter09,fig_05_scatter_phi_at_fpeak,1,zz-scripts/chapter09/plot_fig05_scatter_phi_at_fpeak.py,0,
chapter10,fig_01_iso_p95_maps,1,zz-scripts/chapter10/plot_fig01_iso_p95_maps.py,1,zz-data/chapter10/10_mc_results.circ.csv
chapter10,fig_02_scatter_phi_at_fpeak,1,zz-scripts/chapter10/plot_fig02_scatter_phi_at_fpeak.py,1,zz-data/chapter10/10_mc_results.circ.with_fpeak.csv
chapter10,fig_03_convergence_p95_vs_n,1,zz-scripts/chapter10/plot_fig03_convergence_p95_vs_n.py,1,zz-data/chapter10/10_mc_results.circ.csv
chapter10,fig_04_scatter_p95_recalc_vs_orig,1,zz-scripts/chapter10/plot_fig04_scatter_p95_recalc_vs_orig.py,1,zz-data/chapter10/10_mc_results.circ.csv
chapter10,fig_05_hist_cdf_metrics,1,zz-scripts/chapter10/plot_fig05_hist_cdf_metrics.py.bak,1,zz-data/chapter10/10_mc_results.circ.csv
